Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
CAPRIN1,0.392312348,0.493080757,0.191239441,0.322643366,-0.096866983,-0.01099516,0.190425085,0.463684589,0.265752108,0.229173087,0.063042647,0.513307365,0.236448195,0.694624803,-0.039242812,-0.117325926,-0.328830988,-0.055840595,-0.636069444,0.064239571,0.218561949,0.017313545,0.213001246,-0.013624975,0.256750614,-0.259354566,0.167491332,0.108952936,-0.407014726,-0.253395783,-0.293911869,0.147958589,0.351121475,-0.536244366
CCDC125,-0.69868901,-0.802071344,-0.605428588,-0.461293041,-0.165070387,-0.68191045,-0.351592134,-0.386755592,-0.300763213,-0.167910503,-0.723301977,-0.623591126,-1.013140234,0.009523045,-0.890720151,-0.785628877,-0.544669669,-0.925781702,0.23349739,-0.706479659,-0.042110556,-0.49537973,-0.905436153,-0.844672392,0.007609851,-0.59094112,-0.452025935,-0.201426675,0.153999317,-0.832463459,0.191253065,-0.323565014,-0.780267782,0.600759849
CCDC50,0.693066137,0.497606769,0.448801432,-0.014510271,0.529533007,0.242624173,0.478892567,0.318079746,0.671397064,-0.260235057,0.678995902,-0.052113368,0.273142236,-0.240359055,0.488281925,0.451507824,-0.113343703,0.597956277,-0.341955185,0.461229407,0.514603205,-0.554425008,0.487320486,0.387563379,-0.007500424,0.835080809,0.409434294,0.350859218,-0.288219876,0.489263972,0.010888054,0.325043237,-0.06860903,0.249361503
CCDC85C,-1.780410792,-0.644117822,-1.13516979,-2.91771969,-1.379972832,-0.273865231,-1.388868686,-0.899747962,-0.656732967,-3.342022215,-1.139046816,0.27410907,-1.059453928,-0.582999872,-1.263321084,-0.988458917,-1.903630286,-0.779371693,-0.624461408,-1.109716792,1.039407658,-0.49068089,-0.767805451,0.006850847,-0.671290903,-2.060962866,-0.520949236,-0.842431716,-1.788367728,-2.743631128,-2.994297997,-2.36084125,-0.126064363,0.2784673
CCDC88C,0.508211201,-0.564198989,-0.956334922,-0.266249054,0.160567255,0.015606493,-0.818223722,-0.378386803,-0.178802848,-0.934577736,-0.14557596,-0.08004076,-0.053897241,-0.590078402,-0.479385652,0.399542084,-1.703707717,0.172671021,-1.140110699,-0.244099917,-0.013773757,-0.371066453,0.603465402,-1.313058428,-1.210545754,-0.507515132,-0.319664296,0.111632057,-0.39643354,-0.717909996,-1.265015224,-0.751913425,-0.799146438,-0.367795147
CCL7,1.850547229,2.157881629,3.00763475,3.687408036,2.888222981,3.14126398,2.612757505,2.002694475,2.567754414,-0.08316137,1.640273156,2.750119979,2.799726611,1.694132247,3.125156434,3.118422993,3.285753278,2.046425054,1.477458745,3.672027009,1.610557036,0,2.327466807,3.285415612,1.693369359,0.848778864,2.066685079,2.805573278,2.411652724,-0.383367905,4.165117985,2.916497145,2.900910299,0.72723749
CCT6A,0.011997588,-0.338161195,0.306709512,-0.232224067,0.005035393,0.237532101,-0.23294441,-0.081621244,0.125048767,-0.026823983,-0.524333982,0.085375371,0.181579282,-0.708681577,0.024400753,0.317472109,-0.401300458,-0.020921163,-0.422999792,-0.351600287,-0.138595223,-0.170899991,0.080494266,-0.759457592,-0.52690779,-0.485628113,-0.144347743,-0.11770746,-1.478317502,-1.091866882,-0.236854566,0.040672822,-0.679448487,-0.412404933
CCZ1B,0.64007998,0.172067672,0.510025887,0.063268002,0.174218949,0.160401964,-0.220180317,-0.105125721,1.211278637,0.399787222,-0.090854211,0.446454605,0.356290719,-0.196946599,-0.105735897,0.4484386,-0.90694261,0.037938352,-0.770653359,0.233465719,-0.159859536,0.147199049,0.408723248,-0.000373933,0.358148547,0.318228294,0.940211422,0.633635961,-0.838937391,0.010908756,0.213478763,0.823257824,0.443060366,-0.395782922
CD180,-0.600390862,0.434425575,-0.099436548,0.898718489,-0.953006234,-0.592405525,0.09341353,0.246717099,0.173626177,-0.211325746,0.361690213,-0.063416349,0.905630123,0.228056163,0.276613048,-0.553376427,-1.730217285,-0.433519649,-0.996869628,-0.5379788,0.411191843,-0.07150567,1.608553744,0.041565954,-0.232330913,-0.855840096,0.903521731,0.356008474,-0.94185021,-0.559752827,-1.279965648,-0.687593353,0.018080529,-0.968849549
CD1E,-1.792736265,-2.742582219,-1.103718899,-2.236997896,0.697677186,-1.469678353,-2.318371812,-2.81510961,-2.46167555,-0.813504794,-2.662679216,-2.312157712,-1.169398963,-2.490099346,-2.649489565,-0.65955169,1.003606859,-1.950816082,-1.783641673,-1.52855827,-0.430392423,-0.255969601,-2.445341774,-0.154041255,-0.884005789,-0.528623867,-2.457004138,-1.34104518,-0.357924702,-1.94179039,0.110896831,-1.384339055,-1.06547438,-0.749249231
CDADC1,0.030510097,-0.077789396,0.030199231,0.406630078,-0.495458029,0.324715193,0.430329971,-0.594880447,-0.396050232,0.678513504,-0.393265012,-0.149150631,0.147583636,0.011846737,-0.700284082,0.260407281,-0.223608023,0.218953048,0.06598243,0.557055033,-0.005711706,0.411489245,-0.025013543,-0.537146382,-0.350202039,0.810051466,-0.325478096,-0.144754944,0.360472358,-0.130180642,0.962626303,-0.423903328,-0.447687765,0.141838173
CDC26,1.082761891,-0.247977444,-0.060838068,0.282978877,0.73554282,0.131138496,-0.090778548,0.362328222,0.851188529,0.750646964,-0.550732576,0.614932791,-0.215172811,-0.083793027,0.138618959,0.182627204,-1.206992069,0.230901241,-1.52528763,-0.624926569,-0.0585373,-0.679008263,0.405708064,0.291021294,0.74688746,-0.369958748,0.572368827,0.475620521,-1.464062733,-0.107240946,-0.249649313,0.509679406,0.046650811,-0.091350186
CDK12,-0.348393648,0.166917543,0.079089672,0.131782985,-0.001415101,-0.006175863,0.023876035,0.370370423,-0.091029065,0.06566811,0.688551835,0.428500169,0.346002857,-0.176491534,0.591488477,0.204817273,0.740084412,0.005083206,0.530124506,0.061309334,-0.035835696,0.420305192,-0.021522452,-0.228988725,-0.044140323,0.326493957,0.033722708,0.252667049,0.351763175,0.641902416,0.033805277,0.324716765,-0.553660822,0.428308508
CDK19,-0.42133687,0.155666596,0.27677313,0.255875286,0.329435824,0.162352512,0.61088018,0.52950181,-0.514615126,0.601585444,-0.369208634,0.289121349,-0.109717873,0.53301024,0.402684729,-0.071726959,0.006305097,-0.299348032,0.502447683,-0.025703752,0.115346075,0.021025093,-0.55212259,0.000907041,0.666743624,0.083889507,-0.145438829,0.336753775,1.082035488,0.681743406,0.71597457,0.111386606,-0.447517271,0.691836851
CDK9,0.493413577,-0.360391308,-0.553828859,0.055616576,-0.434090654,0.111281115,-0.314286966,-0.175867228,-0.64087652,0.200320196,-0.28375336,0.658248762,-0.157378938,0.037363448,0.048826327,-0.182334529,-0.916383747,0.027868206,-1.144369558,-0.284994829,0.371324762,-0.175012443,-0.06394749,-0.209196088,0.025813409,-0.076525056,-0.274477214,0.006687422,-0.776349766,-0.586968934,-0.682854267,-0.046956876,0.068095,-0.69973599
CEBPE,-0.747605701,-0.906146202,0.15780057,0.708983669,0.794416822,1.262269528,-0.16350941,-0.684598311,1.224085186,0.506894521,-0.273757423,0.096623202,0.036879361,-0.526038061,0.29478068,0.921363024,1.413507702,0.255280343,0.947775942,-0.786193886,-0.020897613,0.627398579,-0.160510204,0.870319446,0.121029344,-0.213749196,-1.071429595,0.360462808,2.066260521,2.514603201,-0.12464851,0.33824897,2.114695914,1.201969427
CENPW,0.625455263,1.37883818,1.423364302,-0.597454881,0.31141811,-0.004206803,-0.19693891,0.888645671,1.353190528,0.401213785,0.123099624,0.542504434,1.013341919,0.725542807,0.173484479,0.040828304,-0.936683037,0.445000857,-1.94315506,-0.263851515,-0.422893957,0.252285404,-0.138280096,0.817272108,0.663030692,0.392574953,0.605567824,0.301290573,-0.472406612,-1.989079869,0.16011436,0.152548136,1.568425881,-0.879740485
