Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
EWSR1,-0.023655856,0.188462695,0.338490826,0.753087474,0.433072697,0.332128853,0.548356774,0.410950842,0.314690066,1.248865249,0.84919167,0.528031222,0.341050178,0.52245396,0.596956477,0.915457764,1.295047543,0.326798656,0.420153532,0.323512348,-0.104657069,0.212997327,0.037061143,0.660720565,0.749480518,0.6224036,0.737497909,0.383702955,0.908305097,1.015568389,0.551903904,0.752639452,0.534302356,0.546996804
EXOC4,0.90093739,0.243977076,0.09567265,0.00530722,-0.810086955,0.312515702,0.076231313,0.099216622,0.134518535,0.240184653,-0.355506639,0.080084845,-0.203563826,-0.558205516,-0.280688068,-0.073055837,-1.146533409,-0.058646975,-1.369609875,-0.006062335,0.080412696,-0.302522422,0.456945797,-0.876746317,0.522996785,-0.319960375,0.885642384,0.524958315,-1.085078361,-0.830457407,0.201883551,0.027000543,-0.77563213,-0.21330962
EYA3,0.105958374,-0.345518288,0.027054193,0.314981876,-0.311126554,0.078153826,-0.011687545,0.356436104,-0.088153347,-0.010338824,0.206481322,-0.143689447,-0.149548735,-0.223425214,0.339001825,0.115976724,0.3838409,0.096636666,0.244684493,0.119068027,0.066225527,-0.70574094,-0.340144561,-0.086563737,0.287614588,0.102448782,-0.077446654,0.104135858,0.138409967,0.637811798,0.403053025,-0.075878981,-0.712000924,0.593554347
FAM103A1,0.536185678,-0.170207511,0.15601794,0.304144772,0.336583909,0.841959252,0.2917477,0.011967989,0.689839612,-0.429647595,-0.859636005,0.721620176,0.643843053,-0.051304336,-0.107148322,-0.231613767,-0.669368631,-0.079285511,-1.152372707,-0.016694332,0.024284339,-0.057666131,0.427772015,0.612162722,-0.35175931,-1.059122008,0.821942528,0.79999022,0.188674339,-0.01168315,1.072926734,0.707509954,0.513642737,-0.858331123
FAM105B,0.29501537,0.74449429,0.115694441,-0.158314696,-0.676890225,0.417986963,0.161412372,0.165091152,-0.229993102,-0.77300739,0.020191691,0.381403065,0.131701107,1.190112594,-0.175417371,-0.65562588,-0.553560388,-0.143035941,-1.178321976,0.356201926,0.244690634,-0.321064755,0.891352168,-0.396475216,-0.425210319,0.30948133,-0.509791138,-0.185500099,0.483193528,-0.953614479,-0.443752004,-0.288316716,0.594660083,-0.519300284
FAM120A,0.015619249,0.364301342,1.20859252,1.168055095,0.79248381,0.316997713,1.236242225,1.104408776,0.271695737,1.066360587,0.830513949,0.676630538,1.19353751,1.060747788,1.218123143,1.333692759,1.307714162,0.78188044,1.562043402,0.823986202,0.478642627,0.323306545,0.07605587,0.985457136,0.81876036,1.083045945,0.967431474,1.157931215,1.359070264,1.698686663,1.751251059,1.085106116,0.341263765,1.365720138
FAM122B,-0.193908636,-0.264455141,-0.161412071,-0.029966434,-0.610924407,-0.637534689,-0.237694186,-0.120083087,-0.441363925,0.324858599,0.290359518,-0.332006832,0.054666959,-0.572279742,0.407326533,0.42542072,0.744291066,-0.193743846,0.535889868,-0.228731856,0.214291944,-0.326334979,-0.22843967,-0.613423446,-0.036383415,-0.110039205,-0.375969837,-0.195173048,-0.236192179,0.646679885,-0.443058373,-0.318457659,-0.35419085,0.243284585
FAM129A,-0.678198751,0.188226417,0.914868026,0.32349918,0.449975082,-0.18524654,0.605320576,0.994968005,-0.692820988,0.957986111,0.613167526,-0.12433094,-0.12905496,0.872468622,1.794209075,0.452748853,1.623124377,-0.215515423,1.419950948,0.59694108,0.433881985,-0.402257842,-0.34056669,-0.398744499,0.626447623,0.411403877,0.151496923,0.761560065,1.589424257,1.231747469,0.994475392,0.3942023,-0.987897271,1.399468755
FAM173B,0.587460735,-0.700562604,-1.328404256,-0.924769356,-1.096696292,-0.234741011,-0.489772441,-1.152258376,0.486942086,-0.607044602,-0.462187294,-0.466546966,-0.803908866,-0.443858199,-0.29020806,-0.476865503,-2.17324602,-0.555451669,-1.737041777,-0.238334009,0.386649222,-1.060018152,-0.107466279,-0.399703827,-0.624356571,-0.879400206,0.415094043,-0.175545582,-1.252086368,-2.576818713,-0.853600256,-0.735978304,-1.96354055,-0.717091147
FAM198B,0.298856365,0.637112874,0.842608589,1.297919455,-0.004239422,0.633825131,0.568939632,0.757699699,1.210411938,1.288864007,1.269394259,1.295375651,0.233233167,0.156597605,0.661717414,0.719795295,1.076900877,1.0611875,1.455528378,1.429038323,0.171109424,0.635001497,0.40775869,1.14204986,0.67228494,1.166817448,1.036023033,0.208202755,1.146426658,1.07189886,1.191293027,0.55443816,1.069666205,1.215578379
FAM3A,1.028027731,0.16553087,-1.115056222,-0.892948705,-0.044161741,0.144768683,-0.444894451,-0.082934109,0.031715645,-1.425848746,-0.40071604,0.330735626,-0.640890871,-0.517067844,-0.220309535,0.660805764,-1.088118664,0.105368625,-0.790584669,0.077539629,0.438242701,0.134880575,-0.075648985,0.033672367,-0.691958404,-0.041862801,-0.217060832,-0.12279173,-1.465355571,-0.700205726,-0.781367831,-0.269247783,-0.841106902,-0.055297708
FAM50A,1.088712974,0.882665286,-0.656564523,-0.218224934,0.368955656,-0.240403511,-0.030722285,-0.815483714,0.127151271,-2.070392695,0.111303456,0.095038586,-0.156353714,-0.156602052,-0.219619428,-0.587531013,-1.250708199,-0.283540512,-2.344899908,-0.733570736,-0.249402828,-0.002236164,0.426833004,-0.047794901,-1.352131853,-0.877200818,0.465058321,0.64863266,-0.751028982,-0.311973841,0.891279145,0.253326739,-0.158555714,-1.336756691
